"title","type","subtype","rarity","color","revealed","attack","armor","health","mana","gold","skills","effect","effectType","sigCard","sigOf"
"Stonehall Elite","Spell","Creep","uncommon","red","true","4","2","2","4","","","Modify Stonehall Elite with +2 Attack and +2 Health after a unit blocking it dies.","Normal","",""
"Sucker Punch","Spell","Spell","common","red","true","","","","4","","","Stun a unit blocking an allied red hero this round. Deal 2 damage to that unit.","Normal","",""
"Tresdin's Standards","Spell","Spell","rare","red","true","","","","4","","","Modify a red hero with ""After you play a red card, give this hero and its allied neighbors +1 Attack and +1 Armor this round.""","Normal","",""
"Viscous Nasal Goo","Spell","Spell","common","red","true","","","","4","","","Modify a unit with -2 Armor.","Normal","","Bristleback"
"...And One For Me","Spell","Spell","uncommon","blue","true","","","","4","","","Choose a hero. Put a base copy of a random item equipped by that hero into your hand.","Normal","",""
"Aghanim's Sanctum","Spell","Improvement","uncommon","blue","true","","","","4","","","Active ■1: Fully restore your tower's Mana.","Active Effect","",""
"Arcane Assault","Spell","Spell","common","blue","true","","","","4","","","Deal 2 damage to the enemy tower. Draw a card.

▢ Get initiative.","Normal","",""
"Astral Imprisonment","Spell","Spell","uncommon","blue","true","","","","4","","","Stun a unit this round. Give that unit Damage Immunity this round.","Normal","","Outworld Devourer"
"Dimensional Portal","Spell","Spell","common","blue","true","","","","4","","","Summon three Melee Creeps.","Normal","",""
"Divided We Stand","Spell","Spell","rare","blue","true","","","","4","","","Summon a Meepo.","Normal","","Meepo"
"Fog of War","Spell","Spell","rare","blue","true","","","","4","","","Each enemy has a 50% chance of being disarmed this round.","Normal","",""
"Foresight","Spell","Spell","common","blue","true","","","","4","","","Draw 2 cards.","Normal","",""
"Prey on the Weak","Spell","Spell","rare","blue","true","","","","4","","","Summon a Hound of War for every damaged unit.","Normal","","Kanna"
"Self Sabotage","Spell","Spell","uncommon","blue","true","","","","4","","","Modify two random cards in opponent's hand with ""□ Deal 6 damage to a random allied tower in any lane.""","Normal","",""
"Sow Venom","Spell","Spell","common","blue","true","","","","4","","","Summon two Plague Wards.","Normal","","Venomancer"
"Arcane Censure","Spell","Spell","common","black","true","","","","4","","","Modify the enemy tower with -1 Mana.","Normal","",""
"Collateral Damage","Spell","Spell","common","black","true","","","","4","","","Modify a black hero with +3 Siege.","Normal","",""
"Coordinated Assault","Spell","Spell","rare","black","true","","","","4","","","Modify a black hero with ""After you play a black card, give this hero and its allied neighbors +2 Attack this round.""","Normal","",""
"Gank","Spell","Spell","uncommon","black","true","","","","4","","","Choose an allied black hero. Choose another unit in any lane. They battle each other.","Normal","",""
"Heartstopper Aura","Spell","Spell","common","black","true","","","","4","","","Modify a black hero with ""Deal 2 piercing damage to this hero's enemy neighbors before the action phase.""","Normal","","Necrophos"
"Hip Fire","Spell","Spell","common","black","true","","","","4","","","Deal 4 damage to a unit.

▢ Get initiative.","Normal","",""
"Keenfolk Turret","Spell","Improvement","uncommon","black","true","","","","4","","","Active ■1: Deal 2 piercing damage to a unit.","Active Effect","",""
"Murder Plot","Spell","Spell","uncommon","black","true","","","","4","","","Give a black hero +8 Attack this round. Choose a combat target for it.","Normal","",""
"Oglodi Vandal","Spell","Creep","common","black","true","4","0","4","4","","","Play Effect: Deal 4 damage to the enemy tower.","Play Effect","",""
"Pick Off","Spell","Spell","uncommon","black","true","","","","4","","","Deal 4 damage to a unit in any lane.","Normal","",""
"Pit Fighter of Quoidge","Spell","Creep","rare","black","true","2","0","8","4","","","Modify Pit Fighter of Quoidge with +2 Attack after an allied neighbor dies.","Normal","",""
"Ravenous Mass","Spell","Creep","rare","black","true","1","0","1","4","","","Active ■1: Condemn Ravenous Mass's allied neighbors. Modify Ravenous Mass with their Attack and Health.","Active Effect","",""
"The Tyler Estate","Spell","Improvement","uncommon","black","true","","","","4","","","Both towers have -2 Mana.","Normal","",""
"Tyler Estate Censor","Spell","Creep","uncommon","black","true","2","0","8","4","","","The enemy tower has -1 Mana.","Normal","",""
"Allseeing One's Favor","Spell","Spell","rare","green","true","","","","4","","","Modify a green hero with ""Allies have +2 Regeneration.""","Normal","","Omniknight"
"Altar of the Mad Moon","Spell","Improvement","uncommon","green","true","","","","4","","","Allied Melee Creeps have +2 Regeneration.","Normal","",""
"Arm the Rebellion","Spell","Spell","common","green","true","","","","4","","","Modify allied creeps with +2 Attack and +1 Armor.","Normal","",""
"Caught Unprepared","Spell","Spell","rare","green","true","","","","4","","","Stun a hero until they equip an item.","Normal","",""
"Cleansing Rite","Spell","Spell","uncommon","green","true","","","","4","","","Purge your opponent's effects from a hero.","Normal","",""
"Defensive Bloom","Spell","Spell","uncommon","green","true","","","","4","","","Summon two Roseleaf Walls.","Normal","",""
"Empower","Spell","Spell","common","green","true","","","","4","","","Modify a unit with +3 Attack and +3 Cleave.","Normal","","Magnus"
"Gust","Spell","Spell","rare","green","true","","","","4","","","Silence enemy heroes this round.","Normal","","Drow Ranger"
"Homefield Advantage","Spell","Improvement","uncommon","green","true","","","","4","","","Before the action phase disarm a random enemy this round.","Normal","",""
"Ion Shell","Spell","Spell","common","green","true","","","","4","","","Modify a unit with +3 Retaliate.","Normal","","Dark Seer"
"Prowler Vanguard","Spell","Creep","basic","green","true","0","0","6","4","","","Prowler Vanguard's allied neighbors have +1 Armor.","Normal","","Fahrvhan the Dreamer"
"Rampaging Hellbear","Spell","Creep","rare","green","true","2","0","3","4","","","Modify Rampaging Hellbear with +4 Attack after the combat phase.","Normal","",""
"Restoration Effort","Spell","Spell","uncommon","green","true","","","","4","","","Heal your tower 8.","Normal","",""
"Roseleaf Druid","Spell","Creep","common","green","true","2","0","6","4","","","Your tower has +1 Mana.","Normal","","Treant Protector"
"Satyr Duelist","Spell","Creep","common","green","true","3","0","5","4","","","Modify Satyr Duelist with +2 Attack after the combat phase.","Normal","",""
"Savage Wolf","Spell","Creep","common","green","true","3","0","3","4","","","Modify Savage Wolf with +1 Attack and +2 Health after the combat phase.","Normal","","Lycan"
"Selemene's Favor","Spell","Improvement","common","green","true","","","","4","","","Your tower has +2 Mana.","Normal","",""
"Selfish Cleric","Spell","Creep","common","green","true","4","0","4","4","","","Fully heal Selfish Cleric after the combat phase.","Normal","",""
"Smeevil Blacksmith","Spell","Creep","uncommon","green","true","2","0","2","4","","","Play Effect: Modify a random allied hero with +1 Armor.","Play Effect","",""
"Soul of Spring","Spell","Spell","rare","green","true","","","","4","","","Modify a hero with ""After you play a green card, give this hero and its allied neighbors +4 Regeneration this round.""","Normal","",""
"Steal Strength","Spell","Spell","uncommon","green","true","","","","4","","","Give a unit -4 Attack this round and give another unit +4 Attack this round.","Normal","",""
"Centaur Hunter","Spell","Creep","basic","red","true","4","0","8","5","","","","Normal","",""
"Cursed Satyr","Spell","Creep","uncommon","red","true","6","0","6","5","","","Summon a Zombie for your opponent after the combat phase.","Normal","",""
"Enough Magic!","Spell","Spell","uncommon","red","true","","","","5","","","Proceed to the combat phase.","Normal","",""
"Fighting Instinct","Spell","Spell","basic","red","true","","","","5","","","Modify a red hero with +1 Attack and +1 Armor.","Normal","","Keefe the Bold"
"Ogre Corpse Tosser","Spell","Creep","rare","red","true","2","0","10","5","","","Deal 2 piercing damage to the enemy tower after an allied Melee Creep dies.","Normal","",""
"Raze","Spell","Spell","rare","red","true","","","","5","","","Condemn all enemy improvements.","Normal","",""
"Red Mist Pillager","Spell","Creep","uncommon","red","true","4","0","2","5","","","After the combat phase, if Red Mist Pillager dealt battle damage to a tower this round, summon a Red Mist Pillager.","Normal","",""
"Barracks","Spell","Improvement","uncommon","blue","true","","","","5","","","Summon a Melee Creep into this lane each deployment phase.","Normal","","Prellex"
"Conflagration","Spell","Improvement","rare","blue","true","","","","5","","","Deal 2 damage to each enemy before the action phase.","Normal","",""
"Satyr Magician","Spell","Creep","uncommon","blue","true","2","0","5","5","","","Active ■1: Fully restore your tower's Mana.","Active Effect","",""
"Blood Rage","Spell","Spell","common","black","true","","","","5","","","Silence a unit this round. Give that unit +4 Attack this round.","Normal","","Bloodseeker"
"March of the Machines","Spell","Improvement","rare","black","true","","","","5","","","Before the action phase, if there are charges on March of the Machines, remove one and deal 2 damage to the enemy tower and 2 damage to each enemy.","Normal","","Tinker"
"Sister of the Veil","Spell","Creep","uncommon","black","true","4","0","5","5","","","Active ■1: Choose a combat target for Sister of the Veil.","Active Effect","",""
"Act of Defiance","Spell","Spell","uncommon","green","true","","","","5","","","Silence a unit this round.","Normal","","Rix"
"Cheating Death","Spell","Improvement","rare","green","true","","","","5","","","If there is an allied green hero in this lane, allies have a 50% chance of surviving with 1 Health when they would die.","Normal","",""
"Corrosive Mist","Spell","Spell","rare","green","true","","","","5","","","Condemn all equipped items.","Normal","",""
"Divine Intervention","Spell","Spell","uncommon","green","true","","","","5","","","Give allies Damage Immunity this round.","Normal","",""
"Intimidation","Spell","Spell","common","green","true","","","","5","","","Move a unit to a random other lane.","Normal","",""
"Revtel Convoy","Spell","Creep","rare","green","true","0","0","20","5","","","Revtel Convoy has +X Attack where X is equal to half your gold.","Normal","",""
"Verdant Refuge","Spell","Improvement","common","green","true","","","","5","","","Allies have +1 Armor.","Normal","","Enchantress"
"Berserker's Call","Spell","Spell","rare","red","true","","","","6","","","Choose an allied red hero. It battles its enemy neighbors.","Normal","","Axe"
"God's Strength","Spell","Spell","common","red","true","","","","6","","","Modify a red hero with +4 Attack.","Normal","","Sven"
"Keenfolk Golem","Spell","Creep","rare","red","true","13","0","13","6","","","Play Effect: Discard your hand.","Play Effect","",""
"Marrowfell Brawler","Spell","Creep","rare","red","true","6","0","16","6","","","","Normal","",""
"Ogre Conscript","Spell","Creep","common","red","true","7","2","7","6","","","","Normal","",""
"Routed","Spell","Spell","rare","red","true","","","","6","","","Modify enemy heroes at the Fountain with -X Attack where X is half their Attack. Modify them with ""Your tower has -1 Mana.""","Normal","",""
"The Omexe Arena","Spell","Improvement","uncommon","red","true","","","","6","","","Draw a card after a hero dies.","Normal","",""
"Annihilation","Spell","Spell","rare","blue","true","","","","6","","","Condemn all units.","Normal","",""
"Call the Reserves","Spell","Spell","uncommon","blue","true","","","","6","","","Summon two Melee Creeps into any lane.","Normal","",""
"Eclipse","Spell","Spell","uncommon","blue","true","","","","6","","","Repeat one time for each charge: □ Deal 3 piercing damage to a random enemy.","Normal","","Luna"
"Friendly Fire","Spell","Spell","uncommon","blue","true","","","","6","","","Choose two enemies. They battle each other.","Normal","",""
"Glyph of Confusion","Spell","Improvement","rare","blue","true","","","","6","","","Whenever any unit enters this lane, stun it this round.","Normal","",""
"Lost in Time","Spell","Spell","uncommon","blue","true","","","","6","","","Give three random cards in opponent's hand +3 Lock.","Normal","",""
"Mystic Flare","Spell","Spell","common","blue","true","","","","6","","","Deal 12 damage evenly divided among a unit and its allied neighbors.","Normal","","Skywrath Mage"
"Remote Detonation","Spell","Spell","rare","blue","true","","","","6","","","Deal 5 damage to each enemy across from an empty combat position.","Normal","",""
"Thunderstorm","Spell","Spell","uncommon","blue","true","","","","6","","","Deal 4 damage to each enemy.","Normal","",""
"Troll Soothsayer","Spell","Creep","uncommon","blue","true","2","0","8","6","","","Draw an extra card each round.","Normal","",""
"Coup de Grace","Spell","Spell","common","black","true","","","","6","","","Discard a random card. Condemn a hero.","Normal","","Phantom Assassin"
"Ravenhook","Spell","Creep","rare","black","true","3","0","6","6","","","Active ■1: Condemn a random item equipped by the unit blocking Ravenhook. Get gold equal to the base cost of that item.","Active Effect","",""
"Winter's Curse","Spell","Spell","uncommon","black","true","","","","6","","","Disarm a unit until end of round. □ That unit's allied neighbors battle it.","Normal","","Winter Wyvern"
"Curse of Atrophy","Spell","Spell","rare","green","true","","","","6","","","Modify enemy heroes with -2 Attack.","Normal","",""
"Primal Roar","Spell","Spell","common","red","true","","","","7","","","Stun a unit blocking an allied red hero this round. Move that unit's allied neighbors to random other lanes.","Normal","","Beastmaster"
"Spring the Trap","Spell","Spell","rare","red","true","","","","7","","","Summon two Centaur Hunters into any lane.","Normal","",""
"Echo Slam","Spell","Spell","rare","blue","true","","","","7","","","Deal damage to each enemy equal to the number of enemies.","Normal","","Earthshaker"
"Thundergod's Wrath","Spell","Spell","common","blue","true","","","","7","","","Deal 4 piercing damage to each enemy hero in all lanes.","Normal","","Zeus"
"Assassin's Shadow","Spell","Creep","rare","black","true","15","0","5","7","","","Siege 5. Assassin's Shadow has -2 Attack for each ally.","Normal","",""
"Assassinate","Spell","Spell","uncommon","black","true","","","","7","","","Deal 10 piercing damage to a unit in any lane.","Normal","","Sniper"
"Chain Frost","Spell","Spell","rare","black","true","","","","7","","","Deal 3 damage to a unit. Repeat 7 times: □ Deal 3 damage to a random unit to its left or right.

▢ Get initiative.","Normal","","Lich"
"Steam Cannon","Spell","Improvement","rare","black","true","","","","7","","","Active ■1: Deal 4 piercing damage to a unit in any lane.","Active Effect","",""
"The Cover of Night","Spell","Spell","rare","black","true","","","","7","","","Move an allied black hero to another lane. Give that hero +4 Attack and +7 Siege until end of its next combat phase.","Normal","",""
"Champion of the Ancient","Spell","Creep","rare","green","true","2","0","6","7","","","Play Effect: Modify Champion of the Ancient with +1 Attack, +1 Health, and +1 Cleave for each enemy.","Play Effect","",""
"Divine Purpose","Spell","Spell","rare","green","true","","","","7","","","Modify a unit with Damage Immunity.","Normal","",""
"Hand of God","Spell","Spell","rare","green","true","","","","7","","","Fully heal each ally. Give allies Damage Immunity this round.","Normal","","Chen"
"Roseleaf Rejuvenator","Spell","Creep","uncommon","green","true","7","0","7","7","","","Play Effect: Heal your tower 7.","Play Effect","",""
"Time of Triumph","Spell","Spell","rare","red","true","","","","8","","","Modify allied heroes with +4 Attack, +4 Armor, +4 Health, +4 Cleave, +4 Retaliate, and +4 Siege.","Normal","",""
"Emissary of the Quorum","Spell","Creep","rare","green","true","1","2","10","8","","","Active ■1: Modify allies with +2 Attack and +2 Health.","Active Effect","",""
"Thunderhide Pack","Spell","Creep","common","green","true","14","0","14","8","","","Siege 6.","Normal","",""
"Incarnation of Selemene","Spell","Creep","rare","blue","true","3","0","11","9","","","Fully restore your tower's Mana after you play any card.","Normal","",""
"Thunderhide Alpha","Spell","Creep","rare","green","true","25","0","25","9","","","","Normal","",""
"Bolt of Damocles","Spell","Spell","rare","blue","true","","","","10","","","Deal 20 damage to the enemy tower.","Normal","",""
"Healing Salve","Item","Consumable","basic","","true","","","","","3","","Heal a unit 6.","","",""
"Leather Armor","Item","Armor","basic","","true","","","","","3","","Equipped hero has +1 Armor.","","",""
"Short Sword","Item","Weapon","basic","","true","","","","","3","","Equipped hero has +2 Attack.","","",""
"Town Portal Scroll","Item","Consumable","basic","","true","","","","","3","","Return an allied hero to the Fountain.","","",""
"Traveler's Cloak","Item","Accessory","basic","","true","","","","","3","","Equipped hero has +4 Health.","","",""
"Fountain Flask","Item","Consumable","basic","","true","","","","","4","","Fully heal a unit.","","",""
"Revtel Signet Ring","Item","Accessory","uncommon","","true","","","","","4","","Equipped hero has +4 Health and -3 Bounty.","","",""
"Ristul Emblem","Item","Accessory","rare","","true","","","","","4","","Equipped hero has +4 Health and -2 Armor. The unit blocking equipped hero has -2 Armor.","","",""
"Demagicking Maul","Item","Weapon","uncommon","","true","","","","","5","","Equipped hero has +2 Attack.
Active ■1: Condemn a random enemy improvement. May only be used if equipped hero is unblocked.","","",""
"Potion of Knowledge","Item","Consumable","basic","","true","","","","","5","","Draw a card.","","",""
"Stonehall Cloak","Item","Accessory","common","","true","","","","","5","","Equipped hero has +4 Health. Modify Stonehall Cloak with ""Equipped hero has +2 Health"" after the combat phase.","","",""
"Assassin's Veil","Item","Accessory","uncommon","","true","","","","","6","","Equipped hero has +4 Health.
Active ■2: Choose a combat target for equipped hero.","","",""
"Barbed Mail","Item","Armor","common","","true","","","","","6","","Equipped hero has +1 Armor and +2 Retaliate.","","",""
"Phase Boots","Item","Accessory","uncommon","","true","","","","","6","","Equipped hero has +4 Health.
Active ■2: Swap equipped hero with another ally.","","",""
"Stonehall Pike","Item","Weapon","common","","true","","","","","6","","Equipped hero has +2 Attack. Modify Stonehall Pike with ""Equipped hero has +1 Attack"" after the combat phase.","","",""
"Stonehall Plate","Item","Armor","common","","true","","","","","6","","Equipped hero has +1 Armor. Modify Stonehall Plate with ""Equipped hero has +1 Armor"" after the combat phase.","","",""
"Blade of the Vigil","Item","Weapon","common","","true","","","","","7","","Equipped hero has +2 Attack and +2 Cleave.","","",""
"Blink Dagger","Item","Weapon","uncommon","","true","","","","","7","","Equipped hero has +2 Attack.
Active ■2: Move equipped hero to another lane.","","",""
"Broadsword","Item","Weapon","common","","true","","","","","7","","Equipped hero has +4 Attack.","","",""
"Chainmail","Item","Armor","common","","true","","","","","7","","Equipped hero has +2 Armor.","","",""
"Fur-lined Mantle","Item","Accessory","common","","true","","","","","7","","Equipped hero has +8 Health.","","",""
"Jasper Daggers","Item","Weapon","uncommon","","true","","","","","7","","Equipped hero has +2 Attack and Pierce.","","",""
"Keenfolk Musket","Item","Weapon","common","","true","","","","","7","","Equipped hero has +2 Attack.
Active ■2: Deal 2 damage to a unit.","","",""
"Bracers of Sacrifice","Item","Armor","rare","","true","","","","","8","","Equipped hero has +2 Armor.
Active ■1: Deal 6 damage to equipped hero's enemy neighbors and condemn equipped hero.","","",""
"Keenfolk Plate","Item","Armor","uncommon","","true","","","","","8","","Equipped hero has +1 Armor. Equipped hero has +1 Armor for each of its attackers.","","",""
"Poaching Knife","Item","Weapon","rare","","true","","","","","8","","Equipped hero has +2 Attack. Get 5 gold after an enemy hero dies. Get 1 gold after an enemy creep dies.","","",""
"Shield of Basilius","Item","Armor","common","","true","","","","","8","","Equipped hero has +2 Armor. Equipped hero's allied neighbors have +1 Armor.","","",""
"Golden Ticket","Item","Consumable","uncommon","","true","","","","","9","","Get a random item from the Secret Shop.","","",""
"Rumusque Vestments","Item","Armor","common","","true","","","","","9","","Equipped hero has +1 Armor.
Active ■2: Heal a unit 4.","","",""
"Book of the Dead","Item","Accessory","common","","true","","","","","10","","Equipped hero has +4 Health. Add a charge to Book of the Dead after an allied Melee Creep dies.
Active ■2: Summon a Zombie for each charge and remove all charges.","","",""
"Claszureme Hourglass","Item","Accessory","uncommon","","true","","","","","10","","Equipped hero has +4 Health. Whenever opponent draws a card, give that card +1 Lock if equipped hero is in any lane.","","",""
"Obliterating Orb","Item","Consumable","uncommon","","true","","","","","10","","Condemn an improvement.","","",""
"Red Mist Maul","Item","Weapon","common","","true","","","","","10","","Equipped hero has +2 Attack and +5 Siege.","","",""
"Shield of Aquila","Item","Armor","rare","","true","","","","","10","","Equipped hero has +2 Armor. Equipped hero's allied neighbors have +3 Armor.","","",""
"Ring of Tarrasque","Item","Accessory","common","","true","","","","","12","","Equipped hero has +4 Health and +6 Regeneration.","","",""
"Cloak of Endless Carnage","Item","Accessory","rare","","true","","","","","13","","Equipped hero has +8 Health. Draw a card after an allied neighbor of equipped hero dies.","","",""
"Seraphim Shield","Item","Armor","rare","","true","","","","","13","","Equipped hero has +2 Armor. All units have -2 Attack.","","",""
"Claymore","Item","Weapon","uncommon","","true","","","","","15","","Equipped hero has +8 Attack.","","",""
"Hero's Cape","Item","Accessory","uncommon","","true","","","","","15","","Equipped hero has +16 Health.","","",""
"Platemail","Item","Armor","uncommon","","true","","","","","15","","Equipped hero has +4 Armor.","","",""
"Shiva's Guard","Item","Armor","rare","","true","","","","","16","","Equipped hero has +2 Armor.
Active ■2: Modify a unit and its allied neighbors with -2 Attack.","","",""
"Helm of the Dominator","Item","Armor","uncommon","","true","","","","","19","","Equipped hero has +3 Armor.
Active ■2: Get control of an enemy creep.","","",""
"Vesture of the Tyrant","Item","Armor","rare","","true","","","","","19","","Equipped hero has +3 Armor and Rapid Deployment. Your tower has +3 Armor.","","",""
"Wingfall Hammer","Item","Weapon","rare","","true","","","","","19","","Equipped hero has +4 Attack.
Active ■1: Give equipped hero and its allied neighbors +X Regeneration this round where X is half its Attack.","","",""
"Shop Deed","Item","Consumable","rare","","true","","","","","22","","Each item in your Secret Shop costs X less gold, where X is equal to its base cost.","","",""
"Apotheosis Blade","Item","Weapon","rare","","true","","","","","25","","Equipped hero has +8 Attack and +4 Siege. Condemn each unit equipped hero deals battle damage to.
Active ■1: Condemn enemy improvements. Condemn each item equipped by the unit blocking equipped hero.","","",""
"Horn of the Alpha","Item","Accessory","rare","","true","","","","","25","","Equipped hero has +4 Health.
Active ■2: Summon a Thunderhide Pack.","","",""
